Asset_ID,Hostname,IP_Address,Operating_System,Business_Owner,Environment,Severity,QID,CVE,Vulnerability_Title,CVSS_v3_Score,First_Detected,Last_Detected,Days_Open,Patch_Available,Exploit_Available,Threat_Intel_Flag,Risk_Score,Status,Remediation_Action,Due_Date,Scanner_Source
SRV-1001,APP-PRODUCTION-0001,10.174.190.229,RHEL 9,Sarah OBrien,Test,Critical,116663,CVE-2021-44228,Log4Shell,10.0,2026-06-05,2026-08-08,71,Yes,Yes,High,978,Open,Apply vendor patch,2026-09-20,Qualys
SRV-1002,APP-UAT-0002,10.151.72.208,Windows Server 2016,David Walsh,Test,Medium,278389,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-02-16,2026-07-29,180,Yes,Yes,High,913,In Progress,Apply vendor patch,2026-08-21,Qualys
SRV-1003,WEB-UAT-0003,10.138.32.250,RHEL 8,Sarah OBrien,Dev,Critical,289600,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-05-18,2026-07-27,89,Yes,Yes,High,863,Mitigated,Deploy KB update,2026-10-04,Qualys
SRV-1004,FILE-UAT-0004,10.117.163.214,Windows Server 2022,David Walsh,Dev,Medium,286264,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-06-16,2026-07-19,60,Yes,No,Low,942,Mitigated,Apply vendor patch,2026-09-23,Qualys
SRV-1005,FILE-UAT-0005,10.237.164.177,RHEL 9,Emma Kelly,Dev,Critical,129327,CVE-2021-44228,Log4Shell,10.0,2026-06-13,2026-08-10,63,Yes,Yes,Medium,1000,In Progress,Upgrade package,2026-08-20,Qualys
SRV-1006,DB-PRODUCTION-0006,10.168.128.102,Ubuntu 22.04,Niamh Murphy,UAT,Medium,238873,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-03-22,2026-07-18,146,Yes,Yes,Low,951,Mitigated,Upgrade package,2026-10-02,Qualys
SRV-1007,APP-PRODUCTION-0007,10.131.127.24,Windows Server 2016,Sarah OBrien,UAT,High,183876,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-03-18,2026-08-03,150,No,Yes,Medium,746,In Progress,Configuration fix,2026-09-18,Qualys
SRV-1008,API-UAT-0008,10.197.165.88,Windows Server 2016,Michael Byrne,Test,Medium,182920,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-08-12,2026-08-15,3,No,Yes,Low,1000,Mitigated,Upgrade package,2026-09-17,Qualys
SRV-1009,DB-PRODUCTION-0009,10.40.96.196,Windows Server 2019,Sean Kelly,Production,Critical,269951,CVE-2023-3519,Citrix ADC RCE,9.8,2026-07-18,2026-07-19,28,No,Yes,High,1000,In Progress,Upgrade package,2026-08-31,Qualys
SRV-1010,WEB-UAT-0010,10.209.18.251,RHEL 9,David Walsh,UAT,High,349184,CVE-2020-1472,Zerologon,10.0,2026-03-22,2026-07-16,146,Yes,No,Low,960,Mitigated,Configuration fix,2026-08-29,Qualys
SRV-1011,DB-UAT-0011,10.172.167.96,RHEL 8,Sean Kelly,Test,Medium,163441,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-02-19,2026-08-09,177,Yes,Yes,High,791,In Progress,Apply vendor patch,2026-09-22,Qualys
SRV-1012,WEB-PRODUCTION-0012,10.18.232.9,Windows Server 2022,Sarah OBrien,UAT,High,246002,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-06-19,2026-08-15,57,No,Yes,Low,709,Open,Configuration fix,2026-08-31,Qualys
SRV-1013,WEB-UAT-0013,10.91.109.106,RHEL 8,John Murphy,Production,High,131778,CVE-2023-3519,Citrix ADC RCE,9.8,2026-05-02,2026-08-09,105,No,No,High,942,Open,Deploy KB update,2026-08-28,Qualys
SRV-1014,FILE-PRODUCTION-0014,10.224.237.20,RHEL 8,Sean Kelly,Production,High,126522,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-04-28,2026-08-10,109,Yes,Yes,High,735,Open,Configuration fix,2026-09-16,Qualys
SRV-1015,APP-UAT-0015,10.1.100.68,RHEL 8,Michael Byrne,Test,High,391382,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-05-04,2026-07-18,103,No,Yes,High,837,In Progress,Deploy KB update,2026-08-19,Qualys
